# MOCK_DATA — 운영시 BI 추출 파일로 교체
week,brandId,style,color,size,qty
2024-12-W2,adidas,CAMPUS,GREY,41,5
2024-12-W3,adidas,CAMPUS,GREY,41,3
2024-12-W4,adidas,CAMPUS,GREY,41,1
2024-13-W1,adidas,CAMPUS,GREY,41,4
2024-13-W2,adidas,CAMPUS,GREY,41,3
2024-13-W3,adidas,CAMPUS,GREY,41,2
2024-13-W4,adidas,CAMPUS,GREY,41,1
2024-14-W1,adidas,CAMPUS,GREY,41,1
2024-14-W2,adidas,CAMPUS,GREY,41,3
2024-14-W3,adidas,CAMPUS,GREY,41,1
2024-14-W4,adidas,CAMPUS,GREY,41,0
2024-15-W1,adidas,CAMPUS,GREY,41,6
2024-15-W2,adidas,CAMPUS,GREY,41,0
2024-15-W3,adidas,CAMPUS,GREY,41,1
2024-15-W4,adidas,CAMPUS,GREY,41,5
2024-16-W1,adidas,CAMPUS,GREY,41,6
2024-16-W2,adidas,CAMPUS,GREY,41,4
2024-16-W3,adidas,CAMPUS,GREY,41,0
2024-16-W4,adidas,CAMPUS,GREY,41,6
2024-17-W1,adidas,CAMPUS,GREY,41,2
2024-17-W2,adidas,CAMPUS,GREY,41,0
2024-17-W3,adidas,CAMPUS,GREY,41,0
2024-17-W4,adidas,CAMPUS,GREY,41,5
2024-18-W1,adidas,CAMPUS,GREY,41,1
2024-18-W2,adidas,CAMPUS,GREY,41,3
2024-18-W3,adidas,CAMPUS,GREY,41,6
2024-18-W4,adidas,CAMPUS,GREY,41,0
2024-19-W1,adidas,CAMPUS,GREY,41,2
2024-19-W2,adidas,CAMPUS,GREY,41,0
2024-19-W3,adidas,CAMPUS,GREY,41,5
2024-19-W4,adidas,CAMPUS,GREY,41,6
2024-20-W1,adidas,CAMPUS,GREY,41,0
2024-20-W2,adidas,CAMPUS,GREY,41,5
2024-20-W3,adidas,CAMPUS,GREY,41,2
2024-20-W4,adidas,CAMPUS,GREY,41,1
2024-21-W1,adidas,CAMPUS,GREY,41,4
2024-21-W2,adidas,CAMPUS,GREY,41,4
2024-21-W3,adidas,CAMPUS,GREY,41,2
2024-21-W4,adidas,CAMPUS,GREY,41,4
2024-22-W1,adidas,CAMPUS,GREY,41,5
2024-22-W2,adidas,CAMPUS,GREY,41,1
2024-22-W3,adidas,CAMPUS,GREY,41,5
2024-22-W4,adidas,CAMPUS,GREY,41,3
2024-23-W1,adidas,CAMPUS,GREY,41,1
2024-23-W2,adidas,CAMPUS,GREY,41,5
2024-23-W3,adidas,CAMPUS,GREY,41,5
2024-23-W4,adidas,CAMPUS,GREY,41,3
2024-24-W1,adidas,CAMPUS,GREY,41,3
2024-24-W2,adidas,CAMPUS,GREY,41,3
2024-24-W3,adidas,CAMPUS,GREY,41,0
2024-24-W4,adidas,CAMPUS,GREY,41,5
2024-25-W1,adidas,CAMPUS,GREY,41,4
2024-25-W2,adidas,CAMPUS,GREY,41,0
2024-25-W3,adidas,CAMPUS,GREY,41,6
2024-25-W4,adidas,CAMPUS,GREY,41,1
2024-26-W1,adidas,CAMPUS,GREY,41,5
2024-26-W2,adidas,CAMPUS,GREY,41,0
2024-26-W3,adidas,CAMPUS,GREY,41,4
2024-26-W4,adidas,CAMPUS,GREY,41,4
2024-01-W1,newbalance,530,BEIGE,43,2
2024-01-W2,newbalance,530,BEIGE,43,2
2024-01-W3,newbalance,530,BEIGE,43,2
2024-01-W4,newbalance,530,BEIGE,43,5
2024-02-W1,newbalance,530,BEIGE,43,2
2024-02-W2,newbalance,530,BEIGE,43,2
2024-02-W3,newbalance,530,BEIGE,43,7
2024-02-W4,newbalance,530,BEIGE,43,3
2024-03-W1,newbalance,530,BEIGE,43,4
2024-03-W2,newbalance,530,BEIGE,43,3
2024-03-W3,newbalance,530,BEIGE,43,2
2024-03-W4,newbalance,530,BEIGE,43,2
2024-04-W1,newbalance,530,BEIGE,43,2
2024-04-W2,newbalance,530,BEIGE,43,5
2024-04-W3,newbalance,530,BEIGE,43,7
2024-04-W4,newbalance,530,BEIGE,43,6
2024-05-W1,newbalance,530,BEIGE,43,1
2024-05-W2,newbalance,530,BEIGE,43,4
2024-05-W3,newbalance,530,BEIGE,43,1
2024-05-W4,newbalance,530,BEIGE,43,7
2024-06-W1,newbalance,530,BEIGE,43,2
2024-06-W2,newbalance,530,BEIGE,43,4
2024-06-W3,newbalance,530,BEIGE,43,2
2024-06-W4,newbalance,530,BEIGE,43,1
2024-07-W1,newbalance,530,BEIGE,43,2
2024-07-W2,newbalance,530,BEIGE,43,6
2024-07-W3,newbalance,530,BEIGE,43,3
2024-07-W4,newbalance,530,BEIGE,43,6
2024-08-W1,newbalance,530,BEIGE,43,1
2024-08-W2,newbalance,530,BEIGE,43,7
2024-08-W3,newbalance,530,BEIGE,43,7
2024-08-W4,newbalance,530,BEIGE,43,7
2024-09-W1,newbalance,530,BEIGE,43,3
2024-09-W2,newbalance,530,BEIGE,43,3
2024-09-W3,newbalance,530,BEIGE,43,7
2024-09-W4,newbalance,530,BEIGE,43,3
2024-10-W1,newbalance,530,BEIGE,43,6
2024-10-W2,newbalance,530,BEIGE,43,2
2024-10-W3,newbalance,530,BEIGE,43,6
2024-10-W4,newbalance,530,BEIGE,43,1
2024-11-W1,newbalance,530,BEIGE,43,7
2024-11-W2,newbalance,530,BEIGE,43,7
2024-11-W3,newbalance,530,BEIGE,43,3
2024-11-W4,newbalance,530,BEIGE,43,2
2024-12-W1,newbalance,530,BEIGE,43,7
2024-12-W2,newbalance,530,BEIGE,43,4
2024-12-W3,newbalance,530,BEIGE,43,1
2024-12-W4,newbalance,530,BEIGE,43,3
2024-13-W1,newbalance,530,BEIGE,43,5
2024-13-W2,newbalance,530,BEIGE,43,1
2024-13-W3,newbalance,530,BEIGE,43,4
2024-13-W4,newbalance,530,BEIGE,43,3
2024-14-W1,newbalance,530,BEIGE,43,6
2024-14-W2,newbalance,530,BEIGE,43,1
2024-14-W3,newbalance,530,BEIGE,43,2
2024-14-W4,newbalance,530,BEIGE,43,6
2024-15-W1,newbalance,530,BEIGE,43,2
2024-15-W2,newbalance,530,BEIGE,43,7
2024-15-W3,newbalance,530,BEIGE,43,1
2024-15-W4,newbalance,530,BEIGE,43,3
2024-16-W1,newbalance,530,BEIGE,43,5
2024-16-W2,newbalance,530,BEIGE,43,1
2024-16-W3,newbalance,530,BEIGE,43,4
2024-16-W4,newbalance,530,BEIGE,43,1
2024-17-W1,newbalance,530,BEIGE,43,5
2024-17-W2,newbalance,530,BEIGE,43,3
2024-17-W3,newbalance,530,BEIGE,43,1
2024-17-W4,newbalance,530,BEIGE,43,3
2024-18-W1,newbalance,530,BEIGE,43,1
2024-18-W2,newbalance,530,BEIGE,43,3
2024-18-W3,newbalance,530,BEIGE,43,3
2024-18-W4,newbalance,530,BEIGE,43,3
2024-19-W1,newbalance,530,BEIGE,43,7
2024-19-W2,newbalance,530,BEIGE,43,7
2024-19-W3,newbalance,530,BEIGE,43,4
2024-19-W4,newbalance,530,BEIGE,43,5
2024-20-W1,newbalance,530,BEIGE,43,3
2024-20-W2,newbalance,530,BEIGE,43,5
2024-20-W3,newbalance,530,BEIGE,43,1
2024-20-W4,newbalance,530,BEIGE,43,4
2024-21-W1,newbalance,530,BEIGE,43,5
2024-21-W2,newbalance,530,BEIGE,43,1
2024-21-W3,newbalance,530,BEIGE,43,7
2024-21-W4,newbalance,530,BEIGE,43,4
2024-22-W1,newbalance,530,BEIGE,43,4
2024-22-W2,newbalance,530,BEIGE,43,4
2024-22-W3,newbalance,530,BEIGE,43,7
2024-22-W4,newbalance,530,BEIGE,43,6
2024-23-W1,newbalance,530,BEIGE,43,7
2024-23-W2,newbalance,530,BEIGE,43,5
2024-23-W3,newbalance,530,BEIGE,43,3
2024-23-W4,newbalance,530,BEIGE,43,4
2024-24-W1,newbalance,530,BEIGE,43,3
2024-24-W2,newbalance,530,BEIGE,43,5
2024-24-W3,newbalance,530,BEIGE,43,2
2024-24-W4,newbalance,530,BEIGE,43,5
2024-25-W1,newbalance,530,BEIGE,43,3
2024-25-W2,newbalance,530,BEIGE,43,4
2024-25-W3,newbalance,530,BEIGE,43,7
2024-25-W4,newbalance,530,BEIGE,43,4
2024-26-W1,newbalance,530,BEIGE,43,6
2024-26-W2,newbalance,530,BEIGE,43,1
2024-26-W3,newbalance,530,BEIGE,43,3
2024-26-W4,newbalance,530,BEIGE,43,1
2024-01-W1,puma,SUEDE CLASSIC,WHITE,41,7
2024-01-W2,puma,SUEDE CLASSIC,WHITE,41,5
2024-01-W3,puma,SUEDE CLASSIC,WHITE,41,10
2024-01-W4,puma,SUEDE CLASSIC,WHITE,41,7
2024-02-W1,puma,SUEDE CLASSIC,WHITE,41,11
2024-02-W2,puma,SUEDE CLASSIC,WHITE,41,11
2024-02-W3,puma,SUEDE CLASSIC,WHITE,41,9
2024-02-W4,puma,SUEDE CLASSIC,WHITE,41,8
2024-03-W1,puma,SUEDE CLASSIC,WHITE,41,10
2024-03-W2,puma,SUEDE CLASSIC,WHITE,41,11
2024-03-W3,puma,SUEDE CLASSIC,WHITE,41,5
2024-03-W4,puma,SUEDE CLASSIC,WHITE,41,5
2024-04-W1,puma,SUEDE CLASSIC,WHITE,41,10
2024-04-W2,puma,SUEDE CLASSIC,WHITE,41,8
2024-04-W3,puma,SUEDE CLASSIC,WHITE,41,5
2024-04-W4,puma,SUEDE CLASSIC,WHITE,41,6
2024-05-W1,puma,SUEDE CLASSIC,WHITE,41,11
2024-05-W2,puma,SUEDE CLASSIC,WHITE,41,10
2024-05-W3,puma,SUEDE CLASSIC,WHITE,41,8
2024-05-W4,puma,SUEDE CLASSIC,WHITE,41,11
2024-06-W1,puma,SUEDE CLASSIC,WHITE,41,5
2024-06-W2,puma,SUEDE CLASSIC,WHITE,41,5
2024-06-W3,puma,SUEDE CLASSIC,WHITE,41,9
2024-06-W4,puma,SUEDE CLASSIC,WHITE,41,9
2024-07-W1,puma,SUEDE CLASSIC,WHITE,41,10
2024-07-W2,puma,SUEDE CLASSIC,WHITE,41,6
2024-07-W3,puma,SUEDE CLASSIC,WHITE,41,10
2024-07-W4,puma,SUEDE CLASSIC,WHITE,41,10
2024-08-W1,puma,SUEDE CLASSIC,WHITE,41,7
2024-08-W2,puma,SUEDE CLASSIC,WHITE,41,7
2024-08-W3,puma,SUEDE CLASSIC,WHITE,41,7
2024-08-W4,puma,SUEDE CLASSIC,WHITE,41,6
2024-09-W1,puma,SUEDE CLASSIC,WHITE,41,11
2024-09-W2,puma,SUEDE CLASSIC,WHITE,41,5
2024-09-W3,puma,SUEDE CLASSIC,WHITE,41,11
2024-09-W4,puma,SUEDE CLASSIC,WHITE,41,10
2024-10-W1,puma,SUEDE CLASSIC,WHITE,41,8
2024-10-W2,puma,SUEDE CLASSIC,WHITE,41,7
2024-10-W3,puma,SUEDE CLASSIC,WHITE,41,10
2024-10-W4,puma,SUEDE CLASSIC,WHITE,41,9
2024-11-W1,puma,SUEDE CLASSIC,WHITE,41,7
2024-11-W2,puma,SUEDE CLASSIC,WHITE,41,7
2024-11-W3,puma,SUEDE CLASSIC,WHITE,41,10
2024-11-W4,puma,SUEDE CLASSIC,WHITE,41,5
2024-12-W1,puma,SUEDE CLASSIC,WHITE,41,10
2024-12-W2,puma,SUEDE CLASSIC,WHITE,41,6
2024-12-W3,puma,SUEDE CLASSIC,WHITE,41,5
2024-12-W4,puma,SUEDE CLASSIC,WHITE,41,5
2024-13-W1,puma,SUEDE CLASSIC,WHITE,41,5
2024-13-W2,puma,SUEDE CLASSIC,WHITE,41,9
2024-13-W3,puma,SUEDE CLASSIC,WHITE,41,6
2024-13-W4,puma,SUEDE CLASSIC,WHITE,41,9
2024-14-W1,puma,SUEDE CLASSIC,WHITE,41,8
2024-14-W2,puma,SUEDE CLASSIC,WHITE,41,9
2024-14-W3,puma,SUEDE CLASSIC,WHITE,41,6
2024-14-W4,puma,SUEDE CLASSIC,WHITE,41,11
2024-15-W1,puma,SUEDE CLASSIC,WHITE,41,6
2024-15-W2,puma,SUEDE CLASSIC,WHITE,41,11
2024-15-W3,puma,SUEDE CLASSIC,WHITE,41,9
2024-15-W4,puma,SUEDE CLASSIC,WHITE,41,9
2024-16-W1,puma,SUEDE CLASSIC,WHITE,41,6
2024-16-W2,puma,SUEDE CLASSIC,WHITE,41,9
2024-16-W3,puma,SUEDE CLASSIC,WHITE,41,7
2024-16-W4,puma,SUEDE CLASSIC,WHITE,41,5
2024-17-W1,puma,SUEDE CLASSIC,WHITE,41,8
2024-17-W2,puma,SUEDE CLASSIC,WHITE,41,9
2024-17-W3,puma,SUEDE CLASSIC,WHITE,41,7
2024-17-W4,puma,SUEDE CLASSIC,WHITE,41,9
2024-18-W1,puma,SUEDE CLASSIC,WHITE,41,10
2024-18-W2,puma,SUEDE CLASSIC,WHITE,41,10
2024-18-W3,puma,SUEDE CLASSIC,WHITE,41,8
2024-18-W4,puma,SUEDE CLASSIC,WHITE,41,7
2024-19-W1,puma,SUEDE CLASSIC,WHITE,41,11
2024-19-W2,puma,SUEDE CLASSIC,WHITE,41,8
2024-19-W3,puma,SUEDE CLASSIC,WHITE,41,5
2024-19-W4,puma,SUEDE CLASSIC,WHITE,41,6
2024-20-W1,puma,SUEDE CLASSIC,WHITE,41,10
2024-20-W2,puma,SUEDE CLASSIC,WHITE,41,7
2024-20-W3,puma,SUEDE CLASSIC,WHITE,41,9
2024-20-W4,puma,SUEDE CLASSIC,WHITE,41,5
2024-21-W1,puma,SUEDE CLASSIC,WHITE,41,11
2024-21-W2,puma,SUEDE CLASSIC,WHITE,41,11
2024-21-W3,puma,SUEDE CLASSIC,WHITE,41,7
2024-21-W4,puma,SUEDE CLASSIC,WHITE,41,11
2024-22-W1,puma,SUEDE CLASSIC,WHITE,41,10
2024-22-W2,puma,SUEDE CLASSIC,WHITE,41,10
2024-22-W3,puma,SUEDE CLASSIC,WHITE,41,5
2024-22-W4,puma,SUEDE CLASSIC,WHITE,41,9
2024-23-W1,puma,SUEDE CLASSIC,WHITE,41,11
2024-23-W2,puma,SUEDE CLASSIC,WHITE,41,11
2024-23-W3,puma,SUEDE CLASSIC,WHITE,41,5
2024-23-W4,puma,SUEDE CLASSIC,WHITE,41,9
2024-24-W1,puma,SUEDE CLASSIC,WHITE,41,8
2024-24-W2,puma,SUEDE CLASSIC,WHITE,41,9
2024-24-W3,puma,SUEDE CLASSIC,WHITE,41,11
2024-24-W4,puma,SUEDE CLASSIC,WHITE,41,10
2024-25-W1,puma,SUEDE CLASSIC,WHITE,41,6
2024-25-W2,puma,SUEDE CLASSIC,WHITE,41,10
2024-25-W3,puma,SUEDE CLASSIC,WHITE,41,11
2024-25-W4,puma,SUEDE CLASSIC,WHITE,41,7
2024-26-W1,puma,SUEDE CLASSIC,WHITE,41,9
2024-26-W2,puma,SUEDE CLASSIC,WHITE,41,7
2024-26-W3,puma,SUEDE CLASSIC,WHITE,41,11
2024-26-W4,puma,SUEDE CLASSIC,WHITE,41,9
2024-01-W1,birkenstock,BOSTON,WHITE,42,11
2024-01-W2,birkenstock,BOSTON,WHITE,42,6
2024-01-W3,birkenstock,BOSTON,WHITE,42,9
2024-01-W4,birkenstock,BOSTON,WHITE,42,9
2024-02-W1,birkenstock,BOSTON,WHITE,42,6
2024-02-W2,birkenstock,BOSTON,WHITE,42,6
2024-02-W3,birkenstock,BOSTON,WHITE,42,11
2024-02-W4,birkenstock,BOSTON,WHITE,42,8
2024-03-W1,birkenstock,BOSTON,WHITE,42,10
2024-03-W2,birkenstock,BOSTON,WHITE,42,6
2024-03-W3,birkenstock,BOSTON,WHITE,42,11
2024-03-W4,birkenstock,BOSTON,WHITE,42,6
2024-04-W1,birkenstock,BOSTON,WHITE,42,7
2024-04-W2,birkenstock,BOSTON,WHITE,42,6
2024-04-W3,birkenstock,BOSTON,WHITE,42,5
2024-04-W4,birkenstock,BOSTON,WHITE,42,8
2024-05-W1,birkenstock,BOSTON,WHITE,42,6
2024-05-W2,birkenstock,BOSTON,WHITE,42,11
2024-05-W3,birkenstock,BOSTON,WHITE,42,6
2024-05-W4,birkenstock,BOSTON,WHITE,42,9
2024-06-W1,birkenstock,BOSTON,WHITE,42,6
2024-06-W2,birkenstock,BOSTON,WHITE,42,8
2024-06-W3,birkenstock,BOSTON,WHITE,42,10
2024-06-W4,birkenstock,BOSTON,WHITE,42,6
2024-07-W1,birkenstock,BOSTON,WHITE,42,5
2024-07-W2,birkenstock,BOSTON,WHITE,42,8
2024-07-W3,birkenstock,BOSTON,WHITE,42,11
2024-07-W4,birkenstock,BOSTON,WHITE,42,5
2024-08-W1,birkenstock,BOSTON,WHITE,42,6
2024-08-W2,birkenstock,BOSTON,WHITE,42,11
2024-08-W3,birkenstock,BOSTON,WHITE,42,5
2024-08-W4,birkenstock,BOSTON,WHITE,42,10
2024-09-W1,birkenstock,BOSTON,WHITE,42,6
2024-09-W2,birkenstock,BOSTON,WHITE,42,9
2024-09-W3,birkenstock,BOSTON,WHITE,42,7
2024-09-W4,birkenstock,BOSTON,WHITE,42,6
2024-10-W1,birkenstock,BOSTON,WHITE,42,10
2024-10-W2,birkenstock,BOSTON,WHITE,42,11
2024-10-W3,birkenstock,BOSTON,WHITE,42,5
2024-10-W4,birkenstock,BOSTON,WHITE,42,8
2024-11-W1,birkenstock,BOSTON,WHITE,42,9
2024-11-W2,birkenstock,BOSTON,WHITE,42,10
2024-11-W3,birkenstock,BOSTON,WHITE,42,5
2024-11-W4,birkenstock,BOSTON,WHITE,42,9
2024-12-W1,birkenstock,BOSTON,WHITE,42,6
2024-12-W2,birkenstock,BOSTON,WHITE,42,10
2024-12-W3,birkenstock,BOSTON,WHITE,42,10
2024-12-W4,birkenstock,BOSTON,WHITE,42,6
2024-13-W1,birkenstock,BOSTON,WHITE,42,5
2024-13-W2,birkenstock,BOSTON,WHITE,42,7
2024-13-W3,birkenstock,BOSTON,WHITE,42,7
2024-13-W4,birkenstock,BOSTON,WHITE,42,7
2024-14-W1,birkenstock,BOSTON,WHITE,42,10
2024-14-W2,birkenstock,BOSTON,WHITE,42,5
2024-14-W3,birkenstock,BOSTON,WHITE,42,10
2024-14-W4,birkenstock,BOSTON,WHITE,42,11
2024-15-W1,birkenstock,BOSTON,WHITE,42,10
2024-15-W2,birkenstock,BOSTON,WHITE,42,6
2024-15-W3,birkenstock,BOSTON,WHITE,42,8
2024-15-W4,birkenstock,BOSTON,WHITE,42,11
2024-16-W1,birkenstock,BOSTON,WHITE,42,7
2024-16-W2,birkenstock,BOSTON,WHITE,42,9
2024-16-W3,birkenstock,BOSTON,WHITE,42,10
2024-16-W4,birkenstock,BOSTON,WHITE,42,9
2024-17-W1,birkenstock,BOSTON,WHITE,42,11
2024-17-W2,birkenstock,BOSTON,WHITE,42,5
2024-17-W3,birkenstock,BOSTON,WHITE,42,7
2024-17-W4,birkenstock,BOSTON,WHITE,42,5
2024-18-W1,birkenstock,BOSTON,WHITE,42,6
2024-18-W2,birkenstock,BOSTON,WHITE,42,6
2024-18-W3,birkenstock,BOSTON,WHITE,42,6
2024-18-W4,birkenstock,BOSTON,WHITE,42,9
2024-19-W1,birkenstock,BOSTON,WHITE,42,6
2024-19-W2,birkenstock,BOSTON,WHITE,42,6
2024-19-W3,birkenstock,BOSTON,WHITE,42,11
2024-19-W4,birkenstock,BOSTON,WHITE,42,8
2024-20-W1,birkenstock,BOSTON,WHITE,42,9
2024-20-W2,birkenstock,BOSTON,WHITE,42,6
2024-20-W3,birkenstock,BOSTON,WHITE,42,5
2024-20-W4,birkenstock,BOSTON,WHITE,42,11
2024-21-W1,birkenstock,BOSTON,WHITE,42,10
2024-21-W2,birkenstock,BOSTON,WHITE,42,6
2024-21-W3,birkenstock,BOSTON,WHITE,42,9
2024-21-W4,birkenstock,BOSTON,WHITE,42,6
2024-22-W1,birkenstock,BOSTON,WHITE,42,11
2024-22-W2,birkenstock,BOSTON,WHITE,42,5
2024-22-W3,birkenstock,BOSTON,WHITE,42,5
2024-22-W4,birkenstock,BOSTON,WHITE,42,6
2024-23-W1,birkenstock,BOSTON,WHITE,42,11
2024-23-W2,birkenstock,BOSTON,WHITE,42,7
2024-23-W3,birkenstock,BOSTON,WHITE,42,5
2024-23-W4,birkenstock,BOSTON,WHITE,42,5
2024-24-W1,birkenstock,BOSTON,WHITE,42,6
2024-24-W2,birkenstock,BOSTON,WHITE,42,10
2024-24-W3,birkenstock,BOSTON,WHITE,42,7
2024-24-W4,birkenstock,BOSTON,WHITE,42,10
2024-25-W1,birkenstock,BOSTON,WHITE,42,10
2024-25-W2,birkenstock,BOSTON,WHITE,42,7
2024-25-W3,birkenstock,BOSTON,WHITE,42,9
2024-25-W4,birkenstock,BOSTON,WHITE,42,11
2024-26-W1,birkenstock,BOSTON,WHITE,42,8
2024-26-W2,birkenstock,BOSTON,WHITE,42,9
2024-26-W3,birkenstock,BOSTON,WHITE,42,9
2024-26-W4,birkenstock,BOSTON,WHITE,42,8
2024-01-W1,newbalance,530,NAVY,41,0
2024-01-W2,newbalance,530,NAVY,41,0
2024-01-W3,newbalance,530,NAVY,41,2
2024-01-W4,newbalance,530,NAVY,41,5
2024-02-W1,newbalance,530,NAVY,41,0
2024-02-W2,newbalance,530,NAVY,41,3
2024-02-W3,newbalance,530,NAVY,41,3
2024-02-W4,newbalance,530,NAVY,41,0
2024-03-W1,newbalance,530,NAVY,41,1
2024-03-W2,newbalance,530,NAVY,41,3
2024-03-W3,newbalance,530,NAVY,41,0
2024-03-W4,newbalance,530,NAVY,41,0
2024-04-W1,newbalance,530,NAVY,41,5
2024-04-W2,newbalance,530,NAVY,41,2
2024-04-W3,newbalance,530,NAVY,41,0
2024-04-W4,newbalance,530,NAVY,41,0
2024-05-W1,newbalance,530,NAVY,41,4
2024-05-W2,newbalance,530,NAVY,41,5
2024-05-W3,newbalance,530,NAVY,41,2
2024-05-W4,newbalance,530,NAVY,41,0
2024-06-W1,newbalance,530,NAVY,41,1
2024-06-W2,newbalance,530,NAVY,41,4
2024-06-W3,newbalance,530,NAVY,41,1
2024-06-W4,newbalance,530,NAVY,41,5
2024-07-W1,newbalance,530,NAVY,41,1
2024-07-W2,newbalance,530,NAVY,41,3
2024-07-W3,newbalance,530,NAVY,41,3
2024-07-W4,newbalance,530,NAVY,41,1
2024-08-W1,newbalance,530,NAVY,41,4
2024-08-W2,newbalance,530,NAVY,41,1
2024-08-W3,newbalance,530,NAVY,41,0
2024-08-W4,newbalance,530,NAVY,41,4
2024-09-W1,newbalance,530,NAVY,41,4
2024-09-W2,newbalance,530,NAVY,41,3
2024-09-W3,newbalance,530,NAVY,41,5
2024-09-W4,newbalance,530,NAVY,41,2
2024-10-W1,newbalance,530,NAVY,41,4
2024-10-W2,newbalance,530,NAVY,41,0
2024-10-W3,newbalance,530,NAVY,41,4
2024-10-W4,newbalance,530,NAVY,41,0
2024-11-W1,newbalance,530,NAVY,41,1
2024-11-W2,newbalance,530,NAVY,41,1
2024-11-W3,newbalance,530,NAVY,41,3
2024-11-W4,newbalance,530,NAVY,41,1
2024-12-W1,newbalance,530,NAVY,41,3
2024-12-W2,newbalance,530,NAVY,41,0
2024-12-W3,newbalance,530,NAVY,41,3
2024-12-W4,newbalance,530,NAVY,41,0
2024-13-W1,newbalance,530,NAVY,41,2
2024-13-W2,newbalance,530,NAVY,41,2
2024-13-W3,newbalance,530,NAVY,41,4
2024-13-W4,newbalance,530,NAVY,41,3
2024-14-W1,newbalance,530,NAVY,41,5
2024-14-W2,newbalance,530,NAVY,41,2
2024-14-W3,newbalance,530,NAVY,41,0
2024-14-W4,newbalance,530,NAVY,41,2
2024-15-W1,newbalance,530,NAVY,41,0
2024-15-W2,newbalance,530,NAVY,41,1
2024-15-W3,newbalance,530,NAVY,41,1
2024-15-W4,newbalance,530,NAVY,41,5
2024-16-W1,newbalance,530,NAVY,41,5
2024-16-W2,newbalance,530,NAVY,41,0
2024-16-W3,newbalance,530,NAVY,41,4
2024-16-W4,newbalance,530,NAVY,41,3
2024-17-W1,newbalance,530,NAVY,41,3
2024-17-W2,newbalance,530,NAVY,41,3
2024-17-W3,newbalance,530,NAVY,41,2
2024-17-W4,newbalance,530,NAVY,41,3
2024-18-W1,newbalance,530,NAVY,41,1
2024-18-W2,newbalance,530,NAVY,41,2
2024-18-W3,newbalance,530,NAVY,41,0
2024-18-W4,newbalance,530,NAVY,41,0
2024-19-W1,newbalance,530,NAVY,41,2
2024-19-W2,newbalance,530,NAVY,41,5
2024-19-W3,newbalance,530,NAVY,41,3
2024-19-W4,newbalance,530,NAVY,41,2
2024-20-W1,newbalance,530,NAVY,41,0
2024-20-W2,newbalance,530,NAVY,41,3
2024-20-W3,newbalance,530,NAVY,41,0
2024-20-W4,newbalance,530,NAVY,41,2
2024-21-W1,newbalance,530,NAVY,41,5
2024-21-W2,newbalance,530,NAVY,41,2
2024-21-W3,newbalance,530,NAVY,41,3
2024-21-W4,newbalance,530,NAVY,41,5
2024-22-W1,newbalance,530,NAVY,41,4
2024-22-W2,newbalance,530,NAVY,41,5
2024-22-W3,newbalance,530,NAVY,41,3
2024-22-W4,newbalance,530,NAVY,41,0
2024-23-W1,newbalance,530,NAVY,41,5
2024-23-W2,newbalance,530,NAVY,41,4
